"DateTime","Players","Average Players"
"2017-02-02 00:00:00",563,
"2017-02-03 00:00:00",615,
"2017-02-04 00:00:00",681,
"2017-02-05 00:00:00",719,
"2017-02-06 00:00:00",818,
"2017-02-07 00:00:00",640,
"2017-02-08 00:00:00",605,
"2017-02-09 00:00:00",573,
"2017-02-10 00:00:00",549,
"2017-02-11 00:00:00",550,
"2017-02-12 00:00:00",641,
"2017-02-13 00:00:00",551,
"2017-02-14 00:00:00",546,
"2017-02-15 00:00:00",457,
"2017-02-16 00:00:00",470,
"2017-02-17 00:00:00",497,
"2017-02-18 00:00:00",627,
"2017-02-19 00:00:00",624,
"2017-02-20 00:00:00",735,
"2017-02-21 00:00:00",607,
"2017-02-22 00:00:00",577,
"2017-02-23 00:00:00",548,
"2017-02-24 00:00:00",524,
"2017-02-25 00:00:00",597,
"2017-02-26 00:00:00",621,
"2017-02-27 00:00:00",526,
"2017-02-28 00:00:00",502,
"2017-03-01 00:00:00",511,
"2017-03-02 00:00:00",513,
"2017-03-03 00:00:00",465,
"2017-03-04 00:00:00",542,
"2017-03-05 00:00:00",566,
"2017-03-06 00:00:00",695,
"2017-03-07 00:00:00",541,
"2017-03-08 00:00:00",482,
"2017-03-09 00:00:00",534,
"2017-03-10 00:00:00",485,
"2017-03-11 00:00:00",570,
"2017-03-12 00:00:00",559,
"2017-03-13 00:00:00",521,
"2017-03-14 00:00:00",537,
"2017-03-15 00:00:00",692,
"2017-03-16 00:00:00",687,
"2017-03-17 00:00:00",656,
"2017-03-18 00:00:00",681,
"2017-03-19 00:00:00",690,
"2017-03-20 00:00:00",568,
"2017-03-21 00:00:00",587,
"2017-03-22 00:00:00",364,
"2017-03-23 00:00:00",476,
"2017-03-24 00:00:00",491,
"2017-03-25 00:00:00",559,
"2017-03-26 00:00:00",558,
"2017-03-27 00:00:00",527,
"2017-03-28 00:00:00",492,
"2017-03-29 00:00:00",466,
"2017-03-30 00:00:00",491,
"2017-03-31 00:00:00",541,
"2017-04-01 00:00:00",592,
"2017-04-02 00:00:00",610,
"2017-04-03 00:00:00",521,
"2017-04-04 00:00:00",480,
"2017-04-05 00:00:00",443,
"2017-04-06 00:00:00",409,
"2017-04-07 00:00:00",384,
"2017-04-08 00:00:00",437,
"2017-04-09 00:00:00",419,
"2017-04-10 00:00:00",390,
"2017-04-11 00:00:00",470,
"2017-04-12 00:00:00",414,
"2017-04-13 00:00:00",384,
"2017-04-14 00:00:00",405,
"2017-04-15 00:00:00",412,
"2017-04-16 00:00:00",452,
"2017-04-17 00:00:00",397,
"2017-04-18 00:00:00",383,
"2017-04-19 00:00:00",443,
"2017-04-20 00:00:00",409,
"2017-04-21 00:00:00",386,
"2017-04-22 00:00:00",425,
"2017-04-23 00:00:00",429,
"2017-04-24 00:00:00",351,
"2017-04-25 00:00:00",339,
"2017-04-26 00:00:00",378,
"2017-04-27 00:00:00",328,
"2017-04-28 00:00:00",402,
"2017-04-29 00:00:00",379,
"2017-04-30 00:00:00",389,
"2017-05-01 00:00:00",378,
"2017-05-02 00:00:00",391,
"2017-05-03 00:00:00",386,
"2017-05-04 00:00:00",324,
"2017-05-05 00:00:00",365,
"2017-05-06 00:00:00",385,
"2017-05-07 00:00:00",364,
"2017-05-08 00:00:00",329,
"2017-05-09 00:00:00",364,
"2017-05-10 00:00:00",350,
"2017-05-11 00:00:00",326,
"2017-05-12 00:00:00",294,
"2017-05-13 00:00:00",305,
"2017-05-14 00:00:00",301,
"2017-05-15 00:00:00",276,
"2017-05-16 00:00:00",279,
"2017-05-17 00:00:00",294,
"2017-05-18 00:00:00",279,
"2017-05-19 00:00:00",255,
"2017-05-20 00:00:00",292,
"2017-05-21 00:00:00",300,
"2017-05-22 00:00:00",276,
"2017-05-23 00:00:00",262,
"2017-05-24 00:00:00",259,
"2017-05-25 00:00:00",240,
"2017-05-26 00:00:00",238,
"2017-05-27 00:00:00",240,
"2017-05-28 00:00:00",266,
"2017-05-29 00:00:00",248,
"2017-05-30 00:00:00",234,
"2017-05-31 00:00:00",240,
"2017-06-01 00:00:00",248,
"2017-06-02 00:00:00",253,
"2017-06-03 00:00:00",281,
"2017-06-04 00:00:00",270,
"2017-06-05 00:00:00",247,
"2017-06-06 00:00:00",257,
"2017-06-07 00:00:00",259,
"2017-06-08 00:00:00",257,
"2017-06-09 00:00:00",240,
"2017-06-10 00:00:00",234,
"2017-06-11 00:00:00",249,
"2017-06-12 00:00:00",229,
"2017-06-13 00:00:00",258,
"2017-06-14 00:00:00",224,
"2017-06-15 00:00:00",244,
"2017-06-16 00:00:00",242,
"2017-06-17 00:00:00",250,
"2017-06-18 00:00:00",226,
"2017-06-19 00:00:00",231,
"2017-06-20 00:00:00",224,
"2017-06-21 00:00:00",228,
"2017-06-22 00:00:00",221,
"2017-06-23 00:00:00",220,
"2017-06-24 00:00:00",230,
"2017-06-25 00:00:00",226,
"2017-06-26 00:00:00",222,
"2017-06-27 00:00:00",243,
"2017-06-28 00:00:00",222,
"2017-06-29 00:00:00",220,
"2017-06-30 00:00:00",236,
"2017-07-01 00:00:00",237,
"2017-07-02 00:00:00",235,
"2017-07-03 00:00:00",253,
"2017-07-04 00:00:00",287,
"2017-07-05 00:00:00",284,
"2017-07-06 00:00:00",278,
"2017-07-07 00:00:00",263,
"2017-07-08 00:00:00",277,
"2017-07-09 00:00:00",288,
"2017-07-10 00:00:00",264,
"2017-07-11 00:00:00",277,
"2017-07-12 00:00:00",555,
"2017-07-13 00:00:00",564,
"2017-07-14 00:00:00",570,
"2017-07-15 00:00:00",599,
"2017-07-16 00:00:00",576,
"2017-07-17 00:00:00",556,
"2017-07-18 00:00:00",522,
"2017-07-19 00:00:00",562,
"2017-07-20 00:00:00",540,
"2017-07-21 00:00:00",550,
"2017-07-22 00:00:00",506,
"2017-07-23 00:00:00",505,
"2017-07-24 00:00:00",456,
"2017-07-25 00:00:00",453,
"2017-07-26 00:00:00",448,
"2017-07-27 00:00:00",409,
"2017-07-28 00:00:00",433,
"2017-07-29 00:00:00",427,
"2017-07-30 00:00:00",450,
"2017-07-31 00:00:00",395,
"2017-08-01 00:00:00",511,
"2017-08-02 00:00:00",425,
"2017-08-03 00:00:00",370,
"2017-08-04 00:00:00",350,
"2017-08-05 00:00:00",348,
"2017-08-06 00:00:00",335,
"2017-08-07 00:00:00",310,
"2017-08-08 00:00:00",361,
"2017-08-09 00:00:00",338,
"2017-08-10 00:00:00",320,
"2017-08-11 00:00:00",298,
"2017-08-12 00:00:00",294,
"2017-08-13 00:00:00",290,
"2017-08-14 00:00:00",267,
"2017-08-15 00:00:00",323,
"2017-08-16 00:00:00",291,
"2017-08-17 00:00:00",281,
"2017-08-18 00:00:00",329,
"2017-08-19 00:00:00",307,
"2017-08-20 00:00:00",313,
"2017-08-21 00:00:00",282,
"2017-08-22 00:00:00",303,
"2017-08-23 00:00:00",283,
"2017-08-24 00:00:00",263,
"2017-08-25 00:00:00",276,
"2017-08-26 00:00:00",302,
"2017-08-27 00:00:00",315,
"2017-08-28 00:00:00",276,
"2017-08-29 00:00:00",290,
"2017-08-30 00:00:00",300,
"2017-08-31 00:00:00",274,
"2017-09-01 00:00:00",286,
"2017-09-02 00:00:00",290,
"2017-09-03 00:00:00",302,
"2017-09-04 00:00:00",272,
"2017-09-05 00:00:00",271,
"2017-09-06 00:00:00",248,
"2017-09-07 00:00:00",244,
"2017-09-08 00:00:00",240,
"2017-09-09 00:00:00",255,
"2017-09-10 00:00:00",287,
"2017-09-11 00:00:00",244,
"2017-09-12 00:00:00",236,
"2017-09-13 00:00:00",246,
"2017-09-14 00:00:00",217,
"2017-09-15 00:00:00",224,
"2017-09-16 00:00:00",240,
"2017-09-17 00:00:00",253,
"2017-09-18 00:00:00",216,
"2017-09-19 00:00:00",214,
"2017-09-20 00:00:00",220,
"2017-09-21 00:00:00",219,
"2017-09-22 00:00:00",224,
"2017-09-23 00:00:00",235,
"2017-09-24 00:00:00",264,
"2017-09-25 00:00:00",211,
"2017-09-26 00:00:00",240,
"2017-09-27 00:00:00",232,
"2017-09-28 00:00:00",231,
"2017-09-29 00:00:00",210,
"2017-09-30 00:00:00",226,
"2017-10-01 00:00:00",258,
"2017-10-02 00:00:00",233,
"2017-10-03 00:00:00",227,
"2017-10-04 00:00:00",239,
"2017-10-05 00:00:00",245,
"2017-10-06 00:00:00",217,
"2017-10-07 00:00:00",243,
"2017-10-08 00:00:00",277,
"2017-10-09 00:00:00",246,
"2017-10-10 00:00:00",239,
"2017-10-11 00:00:00",246,
"2017-10-12 00:00:00",215,
"2017-10-13 00:00:00",226,
"2017-10-14 00:00:00",239,
"2017-10-15 00:00:00",233,
"2017-10-16 00:00:00",206,
"2017-10-17 00:00:00",205,
"2017-10-18 00:00:00",204,
"2017-10-19 00:00:00",211,
"2017-10-20 00:00:00",209,
"2017-10-21 00:00:00",244,
"2017-10-22 00:00:00",277,
"2017-10-23 00:00:00",251,
"2017-10-24 00:00:00",290,
"2017-10-25 00:00:00",267,
"2017-10-26 00:00:00",292,
"2017-10-27 00:00:00",272,
"2017-10-28 00:00:00",309,
"2017-10-29 00:00:00",311,
"2017-10-30 00:00:00",282,
"2017-10-31 00:00:00",282,
"2017-11-01 00:00:00",287,
"2017-11-02 00:00:00",309,
"2017-11-03 00:00:00",292,
"2017-11-04 00:00:00",296,
"2017-11-05 00:00:00",295,
"2017-11-06 00:00:00",283,
"2017-11-07 00:00:00",255,
"2017-11-08 00:00:00",268,
"2017-11-09 00:00:00",259,
"2017-11-10 00:00:00",278,
"2017-11-11 00:00:00",283,
"2017-11-12 00:00:00",275,
"2017-11-13 00:00:00",264,
"2017-11-14 00:00:00",480,
"2017-11-15 00:00:00",507,
"2017-11-16 00:00:00",414,
"2017-11-17 00:00:00",404,
"2017-11-18 00:00:00",392,
"2017-11-19 00:00:00",390,
"2017-11-20 00:00:00",362,
"2017-11-21 00:00:00",322,
"2017-11-22 00:00:00",290,
"2017-11-23 00:00:00",298,
"2017-11-24 00:00:00",286,
"2017-11-25 00:00:00",303,
"2017-11-26 00:00:00",283,
"2017-11-27 00:00:00",256,
"2017-11-28 00:00:00",236,
"2017-11-29 00:00:00",232,
"2017-11-30 00:00:00",261,
"2017-12-01 00:00:00",280,
"2017-12-02 00:00:00",288,
"2017-12-03 00:00:00",279,
"2017-12-04 00:00:00",265,
"2017-12-05 00:00:00",269,
"2017-12-06 00:00:00",252,
"2017-12-07 00:00:00",301,
"2017-12-08 00:00:00",292,
"2017-12-09 00:00:00",283,
"2017-12-10 00:00:00",292,
"2017-12-11 00:00:00",280,
"2017-12-12 00:00:00",263,
"2017-12-13 00:00:00",233,
"2017-12-14 00:00:00",234,
"2017-12-15 00:00:00",242,
"2017-12-16 00:00:00",256,
"2017-12-17 00:00:00",245,
"2017-12-18 00:00:00",234,
"2017-12-19 00:00:00",231,
"2017-12-20 00:00:00",231,
"2017-12-21 00:00:00",256,
"2017-12-22 00:00:00",241,
"2017-12-23 00:00:00",215,
"2017-12-24 00:00:00",209,
"2017-12-25 00:00:00",219,
"2017-12-26 00:00:00",211,
"2017-12-27 00:00:00",211,
"2017-12-28 00:00:00",218,
"2017-12-29 00:00:00",229,
"2017-12-30 00:00:00",224,
"2017-12-31 00:00:00",209,
"2018-01-01 00:00:00",266,
"2018-01-02 00:00:00",266,
"2018-01-03 00:00:00",255,
"2018-01-04 00:00:00",250,
"2018-01-05 00:00:00",250,
"2018-01-06 00:00:00",239,
"2018-01-07 00:00:00",239,
"2018-01-08 00:00:00",226,
"2018-01-09 00:00:00",218,
"2018-01-10 00:00:00",210,
"2018-01-11 00:00:00",238,
"2018-01-12 00:00:00",247,
"2018-01-13 00:00:00",267,
"2018-01-14 00:00:00",280,
"2018-01-15 00:00:00",253,
"2018-01-16 00:00:00",235,
"2018-01-17 00:00:00",214,
"2018-01-18 00:00:00",235,
"2018-01-19 00:00:00",254,
"2018-01-20 00:00:00",242,
"2018-01-21 00:00:00",249,
"2018-01-22 00:00:00",239,
"2018-01-23 00:00:00",242,
"2018-01-24 00:00:00",229,
"2018-01-25 00:00:00",218,
"2018-01-26 00:00:00",255,
"2018-01-27 00:00:00",248,
"2018-01-28 00:00:00",235,
"2018-01-29 00:00:00",229,
"2018-01-30 00:00:00",214,
"2018-01-31 00:00:00",184,
"2018-02-01 00:00:00",209,
"2018-02-02 00:00:00",204,
"2018-02-03 00:00:00",231,
"2018-02-04 00:00:00",245,
"2018-02-05 00:00:00",195,
"2018-02-06 00:00:00",208,
"2018-02-07 00:00:00",185,
"2018-02-08 00:00:00",201,
"2018-02-09 00:00:00",210,
"2018-02-10 00:00:00",210,
"2018-02-11 00:00:00",212,
"2018-02-12 00:00:00",202,
"2018-02-13 00:00:00",186,
"2018-02-14 00:00:00",180,
"2018-02-15 00:00:00",168,
"2018-02-16 00:00:00",233,
"2018-02-17 00:00:00",232,
"2018-02-18 00:00:00",234,
"2018-02-19 00:00:00",255,
"2018-02-20 00:00:00",206,
"2018-02-21 00:00:00",212,
"2018-02-22 00:00:00",220,
"2018-02-23 00:00:00",225,
"2018-02-24 00:00:00",256,
"2018-02-25 00:00:00",255,
"2018-02-26 00:00:00",233,
"2018-02-27 00:00:00",214,
"2018-02-28 00:00:00",220,
"2018-03-01 00:00:00",218,
"2018-03-02 00:00:00",243,
"2018-03-03 00:00:00",225,
"2018-03-04 00:00:00",239,
"2018-03-05 00:00:00",214,
"2018-03-06 00:00:00",225,
"2018-03-07 00:00:00",204,
"2018-03-08 00:00:00",211,
"2018-03-09 00:00:00",223,
"2018-03-10 00:00:00",227,
"2018-03-11 00:00:00",233,
"2018-03-12 00:00:00",210,
"2018-03-13 00:00:00",199,
"2018-03-14 00:00:00",205,
"2018-03-15 00:00:00",211,
"2018-03-16 00:00:00",234,
"2018-03-17 00:00:00",250,
"2018-03-18 00:00:00",234,
"2018-03-19 00:00:00",236,
"2018-03-20 00:00:00",239,
"2018-03-21 00:00:00",243,
"2018-03-22 00:00:00",226,
"2018-03-23 00:00:00",228,
"2018-03-24 00:00:00",260,
"2018-03-25 00:00:00",262,
"2018-03-26 00:00:00",251,
"2018-03-27 00:00:00",561,
"2018-03-28 00:00:00",585,
"2018-03-29 00:00:00",453,
"2018-03-30 00:00:00",437,
"2018-03-31 00:00:00",443,
"2018-04-01 00:00:00",409,
"2018-04-02 00:00:00",392,
"2018-04-03 00:00:00",368,
"2018-04-04 00:00:00",346,
"2018-04-05 00:00:00",345,
"2018-04-06 00:00:00",324,
"2018-04-07 00:00:00",327,
"2018-04-08 00:00:00",367,
"2018-04-09 00:00:00",299,
"2018-04-10 00:00:00",278,
"2018-04-11 00:00:00",286,
"2018-04-12 00:00:00",273,
"2018-04-13 00:00:00",255,
"2018-04-14 00:00:00",279,
"2018-04-15 00:00:00",295,
"2018-04-16 00:00:00",278,
"2018-04-17 00:00:00",254,
"2018-04-18 00:00:00",248,
"2018-04-19 00:00:00",241,
"2018-04-20 00:00:00",213,
"2018-04-21 00:00:00",253,
"2018-04-22 00:00:00",244,
"2018-04-23 00:00:00",227,
"2018-04-24 00:00:00",202,
"2018-04-25 00:00:00",220,
"2018-04-26 00:00:00",213,
"2018-04-27 00:00:00",231,
"2018-04-28 00:00:00",227,
"2018-04-29 00:00:00",235,
"2018-04-30 00:00:00",211,
"2018-05-01 00:00:00",219,
"2018-05-02 00:00:00",197,
"2018-05-03 00:00:00",203,
"2018-05-04 00:00:00",209,
"2018-05-05 00:00:00",238,
"2018-05-06 00:00:00",221,
"2018-05-07 00:00:00",197,
"2018-05-08 00:00:00",202,
"2018-05-09 00:00:00",176,
"2018-05-10 00:00:00",202,
"2018-05-11 00:00:00",185,
"2018-05-12 00:00:00",202,
"2018-05-13 00:00:00",212,
"2018-05-14 00:00:00",181,
"2018-05-15 00:00:00",178,
"2018-05-16 00:00:00",189,
"2018-05-17 00:00:00",199,
"2018-05-18 00:00:00",189,
"2018-05-19 00:00:00",191,
"2018-05-20 00:00:00",204,
"2018-05-21 00:00:00",190,
"2018-05-22 00:00:00",223,
"2018-05-23 00:00:00",216,
"2018-05-24 00:00:00",206,
"2018-05-25 00:00:00",220,
"2018-05-26 00:00:00",632,
"2018-05-27 00:00:00",900,
"2018-05-28 00:00:00",250,
"2018-05-29 00:00:00",216,
"2018-05-30 00:00:00",234,
"2018-05-31 00:00:00",233,
"2018-06-01 00:00:00",221,
"2018-06-02 00:00:00",222,
"2018-06-03 00:00:00",215,
"2018-06-04 00:00:00",189,
"2018-06-05 00:00:00",179,
"2018-06-06 00:00:00",177,
"2018-06-07 00:00:00",233,
"2018-06-08 00:00:00",214,
"2018-06-09 00:00:00",208,
"2018-06-10 00:00:00",210,
"2018-06-11 00:00:00",185,
"2018-06-12 00:00:00",179,
"2018-06-13 00:00:00",175,
"2018-06-14 00:00:00",203,
"2018-06-15 00:00:00",205,
"2018-06-16 00:00:00",199,
"2018-06-17 00:00:00",198,
"2018-06-18 00:00:00",186,
"2018-06-19 00:00:00",177,
"2018-06-20 00:00:00",163,
"2018-06-21 00:00:00",184,
"2018-06-22 00:00:00",171,
"2018-06-23 00:00:00",171,
"2018-06-24 00:00:00",179,
"2018-06-25 00:00:00",161,
"2018-06-26 00:00:00",158,
"2018-06-27 00:00:00",156,
"2018-06-28 00:00:00",155,
"2018-06-29 00:00:00",167,
"2018-06-30 00:00:00",164,
"2018-07-01 00:00:00",154,
"2018-07-02 00:00:00",157,
"2018-07-03 00:00:00",169,
"2018-07-04 00:00:00",170,
"2018-07-05 00:00:00",180,
"2018-07-06 00:00:00",170,
"2018-07-07 00:00:00",162,
"2018-07-08 00:00:00",176,
"2018-07-09 00:00:00",161,
"2018-07-10 00:00:00",144,
"2018-07-11 00:00:00",145,
"2018-07-12 00:00:00",176,
"2018-07-13 00:00:00",163,
"2018-07-14 00:00:00",175,
"2018-07-15 00:00:00",156,
"2018-07-16 00:00:00",170,
"2018-07-17 00:00:00",155,
"2018-07-18 00:00:00",165,
"2018-07-19 00:00:00",176,
"2018-07-20 00:00:00",166,
"2018-07-21 00:00:00",185,
"2018-07-22 00:00:00",161,
"2018-07-23 00:00:00",176,
"2018-07-24 00:00:00",167,
"2018-07-25 00:00:00",157,
"2018-07-26 00:00:00",180,
"2018-07-27 00:00:00",171,
"2018-07-28 00:00:00",183,
"2018-07-29 00:00:00",203,
"2018-07-30 00:00:00",172,
"2018-07-31 00:00:00",173,
"2018-08-01 00:00:00",172,
"2018-08-02 00:00:00",190,
"2018-08-03 00:00:00",184,
"2018-08-04 00:00:00",173,
"2018-08-05 00:00:00",166,
"2018-08-06 00:00:00",172,
"2018-08-07 00:00:00",163,
"2018-08-08 00:00:00",161,
"2018-08-09 00:00:00",173,
"2018-08-10 00:00:00",174,
"2018-08-11 00:00:00",157,
"2018-08-12 00:00:00",172,
"2018-08-13 00:00:00",166,
"2018-08-14 00:00:00",154,
"2018-08-15 00:00:00",146,
"2018-08-16 00:00:00",157,
"2018-08-17 00:00:00",155,
"2018-08-18 00:00:00",162,
"2018-08-19 00:00:00",182,
"2018-08-20 00:00:00",153,
"2018-08-21 00:00:00",175,
"2018-08-22 00:00:00",160,
"2018-08-23 00:00:00",155,
"2018-08-24 00:00:00",176,
"2018-08-25 00:00:00",196,
"2018-08-26 00:00:00",178,
"2018-08-27 00:00:00",163,
"2018-08-28 00:00:00",158,
"2018-08-29 00:00:00",184,
"2018-08-30 00:00:00",176,
"2018-08-31 00:00:00",175,
"2018-09-01 00:00:00",178,
"2018-09-02 00:00:00",170,
"2018-09-03 00:00:00",204,
"2018-09-04 00:00:00",175,
"2018-09-05 00:00:00",167,
"2018-09-06 00:00:00",176,
"2018-09-07 00:00:00",171,
"2018-09-08 00:00:00",175,
"2018-09-09 00:00:00",187,
"2018-09-10 00:00:00",169,
"2018-09-11 00:00:00",148,
"2018-09-12 00:00:00",147,
"2018-09-13 00:00:00",163,
"2018-09-14 00:00:00",160,
"2018-09-15 00:00:00",184,
"2018-09-16 00:00:00",177,
"2018-09-17 00:00:00",170,
"2018-09-18 00:00:00",156,
"2018-09-19 00:00:00",154,
"2018-09-20 00:00:00",163,
"2018-09-21 00:00:00",180,
"2018-09-22 00:00:00",171,
"2018-09-23 00:00:00",170,
"2018-09-24 00:00:00",171,
"2018-09-25 00:00:00",158,
"2018-09-26 00:00:00",162,
"2018-09-27 00:00:00",152,
"2018-09-28 00:00:00",157,
"2018-09-29 00:00:00",164,
"2018-09-30 00:00:00",177,
"2018-10-01 00:00:00",169,
"2018-10-02 00:00:00",177,
"2018-10-03 00:00:00",184,
"2018-10-04 00:00:00",188,
"2018-10-05 00:00:00",176,
"2018-10-06 00:00:00",189,
"2018-10-07 00:00:00",186,
"2018-10-08 00:00:00",173,
"2018-10-09 00:00:00",167,
"2018-10-10 00:00:00",159,
"2018-10-11 00:00:00",159,
"2018-10-12 00:00:00",145,
"2018-10-13 00:00:00",161,
"2018-10-14 00:00:00",165,
"2018-10-15 00:00:00",153,
"2018-10-16 00:00:00",142,
"2018-10-17 00:00:00",144,
"2018-10-18 00:00:00",139,
"2018-10-19 00:00:00",147,
"2018-10-20 00:00:00",159,
"2018-10-21 00:00:00",164,
"2018-10-22 00:00:00",146,
"2018-10-23 00:00:00",130,
"2018-10-24 00:00:00",129,
"2018-10-25 00:00:00",146,
"2018-10-26 00:00:00",155,
"2018-10-27 00:00:00",153,
"2018-10-28 00:00:00",184,
